iev	time	count	locflow_time	diff	var	phase_type
191	2022-05-03 07:10:44.256347392+00:00	46	2022-05-03 07:10:54.542000+00:00	10.285653	0.006180676328502421	P
191	2022-05-03 07:10:44.385393920+00:00	165	2022-05-03 07:10:54.542000+00:00	10.156607	0.007049386548410942	S
191	2022-05-03 07:11:32.508036608+00:00	111	2022-05-03 07:10:54.542000+00:00	-37.966036	0.01821868959868962	P
191	2022-05-03 07:11:33.829461504+00:00	130	2022-05-03 07:10:54.542000+00:00	-39.287461	0.0026624985092427457	S
192	2022-05-03 07:11:31.475871232+00:00	31	2022-05-03 07:11:25.502000+00:00	-5.973871	0.05577118279569896	P
192	2022-05-03 07:11:32.521556736+00:00	316	2022-05-03 07:11:25.502000+00:00	-7.019556	0.016465199919630295	P
192	2022-05-03 07:11:33.440775424+00:00	49	2022-05-03 07:11:25.502000+00:00	-7.938775	0.08945680272108851	P
192	2022-05-03 07:11:33.856260096+00:00	392	2022-05-03 07:11:25.502000+00:00	-8.35426	0.004514540816326545	S
193	2022-05-03 07:15:14.485428736+00:00	35	2022-05-03 07:15:08.622000+00:00	-5.863428	0.06645260504201686	P
193	2022-05-03 07:15:15.487542272+00:00	166	2022-05-03 07:15:08.622000+00:00	-6.865542	0.03060788608981379	P
193	2022-05-03 07:15:16.612385024+00:00	52	2022-05-03 07:15:08.622000+00:00	-7.990385	0.05837239819004524	P
193	2022-05-03 07:15:16.807229696+00:00	283	2022-05-03 07:15:08.622000+00:00	-8.185229	0.005006595995288576	S
194	2022-05-03 07:17:53.533225216+00:00	710	2022-05-03 07:17:26.762000+00:00	-26.771225	0.003519935040425893	P
194	2022-05-03 07:17:54.923077632+00:00	501	2022-05-03 07:17:26.762000+00:00	-28.161077	0.0032692359281437204	S
194	2022-05-03 07:17:55.029971456+00:00	212	2022-05-03 07:17:26.762000+00:00	-28.267971	0.0007015536975766831	S
195	2022-05-03 07:17:53.553184512+00:00	726	2022-05-03 07:17:46.642000+00:00	-6.911184	0.005369905196162256	P
195	2022-05-03 07:17:54.929472256+00:00	451	2022-05-03 07:17:46.642000+00:00	-8.287472	0.0026224853412170476	S
195	2022-05-03 07:17:55.045178368+00:00	280	2022-05-03 07:17:46.642000+00:00	-8.403178	0.0016188927291346717	S
197	2022-05-03 07:19:41.352000+00:00	178	2022-05-03 07:19:07.602000+00:00	-33.75	0.012951412429378497	P
197	2022-05-03 07:19:42.731297536+00:00	185	2022-05-03 07:19:07.602000+00:00	-35.129297	0.0037652643948295587	S
198	2022-05-03 07:19:15.792444672+00:00	45	2022-05-03 07:19:34.382000+00:00	18.589556	0.07577707070707057	P
198	2022-05-03 07:19:41.381488384+00:00	391	2022-05-03 07:19:34.382000+00:00	-6.999488	0.014681276149255683	P
198	2022-05-03 07:19:42.722066176+00:00	454	2022-05-03 07:19:34.382000+00:00	-8.340066	0.0050421589792961335	S
199	2022-05-03 07:20:37.925313280+00:00	332	2022-05-03 07:20:13.982000+00:00	-23.943313	0.006358173479416151	P
199	2022-05-03 07:20:38.077752320+00:00	113	2022-05-03 07:20:13.982000+00:00	-24.095752	0.017642509481668775	P
199	2022-05-03 07:20:39.337089536+00:00	446	2022-05-03 07:20:13.982000+00:00	-25.355089	0.007332014410238304	S
200	2022-05-03 07:20:37.875116544+00:00	292	2022-05-03 07:20:31.062000+00:00	-6.813116	0.024949360965965253	P
200	2022-05-03 07:20:38.066791680+00:00	288	2022-05-03 07:20:31.062000+00:00	-7.004791	0.008655008710801384	P
200	2022-05-03 07:20:39.344150016+00:00	586	2022-05-03 07:20:31.062000+00:00	-8.28215	0.006114685102534936	S
201	2022-05-03 07:24:22.855409152+00:00	44	2022-05-03 07:24:16.662000+00:00	-6.193409	0.01052066596194503	P
201	2022-05-03 07:24:23.108378112+00:00	312	2022-05-03 07:24:16.662000+00:00	-6.446378	0.002789091227636247	P
201	2022-05-03 07:24:24.355099648+00:00	371	2022-05-03 07:24:16.662000+00:00	-7.693099	0.005870095432359581	S
202	2022-05-03 07:25:15.847596544+00:00	109	2022-05-03 07:25:09.002000+00:00	-6.845596	0.05015820591233438	P
202	2022-05-03 07:25:16.365411328+00:00	299	2022-05-03 07:25:09.002000+00:00	-7.363411	0.061882954366905364	P
202	2022-05-03 07:25:17.369679360+00:00	418	2022-05-03 07:25:09.002000+00:00	-8.367679	0.006903714731564037	S
203	2022-05-03 07:39:16.510909952+00:00	422	2022-05-03 07:39:10.002000+00:00	-6.508909	0.004115673582420549	P
203	2022-05-03 07:39:17.787209472+00:00	430	2022-05-03 07:39:10.002000+00:00	-7.785209	0.0055727999132650285	S
204	2022-05-03 09:05:28.670048768+00:00	205	2022-05-03 09:05:22.102000+00:00	-6.568048	0.0052344093735054945	P
204	2022-05-03 09:05:29.902655744+00:00	183	2022-05-03 09:05:22.102000+00:00	-7.800655	0.0024720951179967514	S
204	2022-05-03 09:05:30.072979968+00:00	51	2022-05-03 09:05:22.102000+00:00	-7.970979	0.01899701960784315	S
205	2022-05-03 09:13:24.162605568+00:00	644	2022-05-03 09:13:17.222000+00:00	-6.940605	0.004685946842730601	P
205	2022-05-03 09:13:25.554323456+00:00	680	2022-05-03 09:13:17.222000+00:00	-8.332323	0.004289144069999135	S
206	2022-05-03 10:09:45.832320+00:00	147	2022-05-03 10:09:38.823000+00:00	-7.00932	0.012631040909514482	P
206	2022-05-03 10:09:46.318918656+00:00	49	2022-05-03 10:09:38.823000+00:00	-7.495918	0.041153826530612274	P
206	2022-05-03 10:09:47.196301312+00:00	209	2022-05-03 10:09:38.823000+00:00	-8.373301	0.0028097211998527843	S
207	2022-05-03 10:09:45.809818368+00:00	220	2022-05-03 10:09:55.263000+00:00	9.453182	0.020644624325446247	P
207	2022-05-03 10:09:46.309043712+00:00	91	2022-05-03 10:09:55.263000+00:00	8.953957	0.08548639804639811	P
207	2022-05-03 10:09:47.162393856+00:00	33	2022-05-03 10:09:55.263000+00:00	8.100607	0.006893371212121236	P
207	2022-05-03 10:09:47.204063232+00:00	348	2022-05-03 10:09:55.263000+00:00	8.058937	0.004274082447249001	S
207	2022-05-03 10:10:03.704818176+00:00	33	2022-05-03 10:09:55.263000+00:00	-8.441818	0.008209090909090893	S
209	2022-05-03 10:28:40.562999808+00:00	42	2022-05-03 10:28:34.463000+00:00	-6.099999	0.07821463414634144	P
209	2022-05-03 10:28:41.531220480+00:00	118	2022-05-03 10:28:34.463000+00:00	-7.06822	0.03493441257424308	P
209	2022-05-03 10:28:42.924533248+00:00	150	2022-05-03 10:28:34.463000+00:00	-8.461533	0.005167431767337797	S
209	2022-05-03 10:28:43.055162112+00:00	37	2022-05-03 10:28:34.463000+00:00	-8.592162	0.0025063063063063226	S
211	2022-05-03 10:42:34.564272640+00:00	55	2022-05-03 10:42:26.063000+00:00	-8.501272	0.0081890909090909	S
212	2022-05-03 11:03:04.615253504+00:00	71	2022-05-03 11:02:57.583000+00:00	-7.032253	0.024497706237424543	P
212	2022-05-03 11:03:05.943000064+00:00	60	2022-05-03 11:02:57.583000+00:00	-8.36	0.004457627118644081	S
212	2022-05-03 11:03:06.068166912+00:00	60	2022-05-03 11:02:57.583000+00:00	-8.485166	0.0028186158192090452	S
214	2022-05-03 12:42:48.811067904+00:00	88	2022-05-03 12:42:41.863000+00:00	-6.948067	0.0412364550679206	P
214	2022-05-03 12:42:49.371077120+00:00	104	2022-05-03 12:42:41.863000+00:00	-7.508077	0.07591082897684841	P
214	2022-05-03 12:42:50.443315456+00:00	222	2022-05-03 12:42:41.863000+00:00	-8.580315	0.005295375239492885	S
